,TP,TN,FP,FN,Class
560,0,2389.0,2,28.0,Cup
561,1.0,2390.0,1.0,27.0,Cup
562,0,2389.0,2,28.0,Cup
563,0,2389.0,2,28.0,Cup
564,0,2389.0,2,28.0,Cup
565,0,2389.0,2,28.0,Cup
566,0,2389.0,2,28.0,Cup
567,0,2389.0,2,28.0,Cup
568,0,2389.0,2,28.0,Cup
569,0,2389.0,2,28.0,Cup
570,1.0,2390.0,1.0,27.0,Cup
571,0,2389.0,2,28.0,Cup
572,0,2389.0,2,28.0,Cup
573,1.0,2390.0,1.0,27.0,Cup
574,0,2389.0,2,28.0,Cup
575,0,2389.0,2,28.0,Cup
576,0,2389.0,2,28.0,Cup
577,1.0,2390.0,1.0,27.0,Cup
578,0,2389.0,2,28.0,Cup
579,0,2389.0,2,28.0,Cup
580,0,2389.0,2,28.0,Cup
581,0,2389.0,2,28.0,Cup
582,0,2386.0,2,31.0,DeskLamp
583,1.0,2387.0,1.0,30.0,DeskLamp
584,1.0,2387.0,1.0,30.0,DeskLamp
585,0,2386.0,2,31.0,DeskLamp
586,0,2386.0,2,31.0,DeskLamp
587,0,2386.0,2,31.0,DeskLamp
588,0,2386.0,2,31.0,DeskLamp
589,0,2386.0,2,31.0,DeskLamp
590,0,2386.0,2,31.0,DeskLamp
591,0,2386.0,2,31.0,DeskLamp
592,0,2386.0,2,31.0,DeskLamp
593,1.0,2387.0,1.0,30.0,DeskLamp
594,0,2386.0,2,31.0,DeskLamp
595,1.0,2387.0,1.0,30.0,DeskLamp
596,0,2386.0,2,31.0,DeskLamp
597,0,2386.0,2,31.0,DeskLamp
598,0,2386.0,2,31.0,DeskLamp
599,0,2386.0,2,31.0,DeskLamp
600,1.0,2387.0,1.0,30.0,DeskLamp
601,0,2386.0,2,31.0,DeskLamp
602,0,2386.0,2,31.0,DeskLamp
603,0,2386.0,2,31.0,DeskLamp
604,1.0,2387.0,1.0,30.0,DeskLamp
605,0,2386.0,2,31.0,DeskLamp
606,0,2386.0,2,31.0,DeskLamp
607,0,2386.0,2,31.0,DeskLamp
608,0,2386.0,2,31.0,DeskLamp
609,0,2386.0,2,31.0,DeskLamp
610,0,2386.0,2,31.0,DeskLamp
611,0,2386.0,2,31.0,DeskLamp
612,1.0,2387.0,1.0,30.0,DeskLamp
613,0,2398.0,2,19.0,DeskPhone
614,0,2398.0,2,19.0,DeskPhone
615,0,2398.0,2,19.0,DeskPhone
616,0,2398.0,2,19.0,DeskPhone
617,0,2398.0,2,19.0,DeskPhone
618,0,2398.0,2,19.0,DeskPhone
619,0,2398.0,2,19.0,DeskPhone
620,0,2398.0,2,19.0,DeskPhone
621,1.0,2399.0,1.0,18.0,DeskPhone
622,0,2398.0,2,19.0,DeskPhone
623,0,2398.0,2,19.0,DeskPhone
624,0,2398.0,2,19.0,DeskPhone
625,0,2398.0,2,19.0,DeskPhone
626,0,2398.0,2,19.0,DeskPhone
627,0,2398.0,2,19.0,DeskPhone
