,TP,TN,FP,FN,Class
270,7.0,2280.0,96.0,36.0,BuildingNonResidential
271,15.0,892.0,1484.0,28.0,BuildingNonResidential
272,3.0,2310.0,66.0,40.0,BuildingNonResidential
273,24.0,807.0,1569.0,19.0,BuildingNonResidential
274,0,2371.0,5,43.0,BuildingNonResidential
275,5.0,2308.0,68.0,38.0,BuildingNonResidential
276,6.0,2042.0,334.0,37.0,BuildingNonResidential
277,12.0,2124.0,252.0,31.0,BuildingNonResidential
278,17.0,738.0,1638.0,26.0,BuildingNonResidential
279,4.0,2362.0,14.0,39.0,BuildingNonResidential
280,14.0,811.0,1565.0,29.0,BuildingNonResidential
281,7.0,2326.0,50.0,36.0,BuildingNonResidential
282,16.0,1723.0,653.0,27.0,BuildingNonResidential
283,22.0,1530.0,846.0,21.0,BuildingNonResidential
284,1.0,2359.0,17.0,42.0,BuildingNonResidential
285,4.0,2338.0,38.0,39.0,BuildingNonResidential
286,7.0,2326.0,50.0,36.0,BuildingNonResidential
287,16.0,1918.0,458.0,27.0,BuildingNonResidential
288,14.0,834.0,1542.0,29.0,BuildingNonResidential
289,7.0,1101.0,1275.0,36.0,BuildingNonResidential
290,20.0,582.0,1794.0,23.0,BuildingNonResidential
291,2.0,2348.0,28.0,41.0,BuildingNonResidential
292,17.0,679.0,1697.0,26.0,BuildingNonResidential
293,18.0,640.0,1736.0,25.0,BuildingNonResidential
294,16.0,796.0,1580.0,27.0,BuildingNonResidential
295,17.0,717.0,1659.0,26.0,BuildingNonResidential
296,1.0,2344.0,32.0,42.0,BuildingNonResidential
297,0,2370.0,32,17.0,Bus
298,0,2401.0,1,17.0,Bus
299,4.0,1626.0,776.0,13.0,Bus
300,2.0,2399.0,3.0,15.0,Bus
301,4.0,1870.0,532.0,13.0,Bus
302,2.0,2303.0,99.0,15.0,Bus
303,4.0,2118.0,284.0,13.0,Bus
304,0,2399.0,3,17.0,Bus
305,0,2401.0,1,17.0,Bus
306,0,839.0,1563,17.0,Bus
307,3.0,2284.0,118.0,14.0,Bus
308,2.0,2372.0,30.0,15.0,Bus
309,2.0,2372.0,30.0,15.0,Bus
310,2.0,2396.0,6.0,15.0,Bus
311,1.0,2359.0,43.0,16.0,Bus
312,4.0,2005.0,397.0,13.0,Bus
313,2.0,2397.0,5.0,15.0,Bus
314,79.0,580.0,1750.0,10.0,Car
315,56.0,1837.0,493.0,33.0,Car
316,53.0,2025.0,305.0,36.0,Car
317,67.0,1544.0,786.0,22.0,Car
318,0,2297.0,33,89.0,Car
319,72.0,1504.0,826.0,17.0,Car
320,37.0,1099.0,1231.0,52.0,Car
321,80.0,1589.0,741.0,9.0,Car
322,83.0,1096.0,1234.0,6.0,Car
323,84.0,871.0,1459.0,5.0,Car
324,71.0,1224.0,1106.0,18.0,Car
325,72.0,659.0,1671.0,17.0,Car
326,60.0,1917.0,413.0,29.0,Car
327,81.0,793.0,1537.0,8.0,Car
328,72.0,1503.0,827.0,17.0,Car
329,65.0,1654.0,676.0,24.0,Car
330,61.0,1686.0,644.0,28.0,Car
331,81.0,600.0,1730.0,8.0,Car
332,69.0,1516.0,814.0,20.0,Car
333,76.0,1708.0,622.0,13.0,Car
334,73.0,1464.0,866.0,16.0,Car
335,67.0,1600.0,730.0,22.0,Car
336,44.0,1069.0,1261.0,45.0,Car
337,48.0,1556.0,774.0,41.0,Car
338,80.0,1196.0,1134.0,9.0,Car
339,65.0,607.0,1723.0,24.0,Car
340,56.0,702.0,1628.0,33.0,Car
341,79.0,594.0,1736.0,10.0,Car
342,83.0,607.0,1723.0,6.0,Car
343,84.0,583.0,1747.0,5.0,Car
344,47.0,703.0,1627.0,42.0,Car
345,52.0,1017.0,1313.0,37.0,Car
346,82.0,869.0,1461.0,7.0,Car
347,64.0,661.0,1669.0,25.0,Car
348,42.0,782.0,1548.0,47.0,Car
349,70.0,611.0,1719.0,19.0,Car
350,74.0,641.0,1689.0,15.0,Car
351,50.0,650.0,1680.0,39.0,Car
352,73.0,576.0,1754.0,16.0,Car
353,72.0,611.0,1719.0,17.0,Car
354,54.0,654.0,1676.0,35.0,Car
355,81.0,531.0,1799.0,8.0,Car
356,63.0,598.0,1732.0,26.0,Car
357,79.0,555.0,1775.0,10.0,Car
358,69.0,648.0,1682.0,20.0,Car
359,74.0,623.0,1707.0,15.0,Car
360,69.0,656.0,1674.0,20.0,Car
361,76.0,1123.0,1207.0,13.0,Car
362,73.0,1316.0,1014.0,16.0,Car
363,79.0,930.0,1400.0,10.0,Car
364,65.0,1533.0,797.0,24.0,Car
365,44.0,2098.0,232.0,45.0,Car
366,81.0,626.0,1704.0,8.0,Car
367,68.0,1482.0,848.0,21.0,Car
368,65.0,1625.0,705.0,24.0,Car
369,84.0,766.0,1564.0,5.0,Car
370,66.0,1662.0,668.0,23.0,Car
371,84.0,741.0,1589.0,5.0,Car
372,61.0,1794.0,536.0,28.0,Car
373,68.0,1607.0,723.0,21.0,Car
374,47.0,1960.0,370.0,42.0,Car
375,70.0,1313.0,1017.0,19.0,Car
376,56.0,1798.0,532.0,33.0,Car
377,70.0,1469.0,861.0,19.0,Car
378,83.0,778.0,1552.0,6.0,Car
379,48.0,1945.0,385.0,41.0,Car
380,67.0,1491.0,839.0,22.0,Car
381,82.0,967.0,1363.0,7.0,Car
382,71.0,1586.0,744.0,18.0,Car
383,72.0,1516.0,814.0,17.0,Car
384,78.0,758.0,1572.0,11.0,Car
385,77.0,636.0,1694.0,12.0,Car
386,78.0,1357.0,973.0,11.0,Car
387,34.0,2003.0,327.0,55.0,Car
388,80.0,561.0,1769.0,9.0,Car
389,78.0,1363.0,967.0,11.0,Car
390,77.0,659.0,1671.0,12.0,Car
391,59.0,1883.0,447.0,30.0,Car
392,69.0,1406.0,924.0,20.0,Car
393,76.0,615.0,1715.0,13.0,Car
394,64.0,650.0,1680.0,25.0,Car
395,0,2328.0,2,89.0,Car
396,78.0,1375.0,955.0,11.0,Car
397,55.0,647.0,1683.0,34.0,Car
398,50.0,773.0,1557.0,39.0,Car
